id;flow;type;actor;EN;AR
NODEL-054a099c-3b64-4154-a8b8-1712008446095;FR-01 Paris;Text;woman;Well.. it seems like a videogame, isn't it?;يبدو وكأنه لعبة فيديو، أليس كذلك؟
NODEL-4166dc79-0c63-4ce2-bbe1-1710913364361-c9-aa;FR-01 Paris;Text;Guide;Hello. The ticket for the Tour Eiffel costs 3 coins.;مرحبـاً تذكرة جولة إيفل تكلف 3 عملات معدنية.
NODEL-347a6af4-a8ae-4e23-b995-1710935631414;FR-01 Paris;Text;Tutor;Collect all coins!;!اجمع كل القطع النقدية
NODHD-2c2ce3c6-a992-4ddf-ab6b-1712008911691;FR-01 Paris;Node Header;woman;Ciao. What do you want to know?;إلى اللقاء ماذا تريد أن تعرف؟
NODEL-ad9f781a-fbe4-4c9f-a8bb-1712008911691;FR-01 Paris;Choice;woman;What is the Eiffel Tower?;ما هو برج إيفل؟
NODEL-d7d20660-68bd-4d95-8a05-1712008940440;FR-01 Paris;Choice;woman;Where are we?;أين نحن؟
NODEL-737c811d-7a1d-485e-b0eb-1712008942785;FR-01 Paris;Choice;woman;Is this place real?;هل هذا المكان حقيقي؟
NODEL-f3aa4401-331a-4459-9734-1719036941721;FR-01 Paris;Choice;woman;Nothing. Bye.;.لا شيء إلى اللقاء
NODEL-b4c96a33-20ea-49d8-85bb-1712008976099;FR-01 Paris;Text;woman;The famous iron tower 300 meters tall. The symbol of Paris!;البرج الحديدي الشهير بطول 300 متر رمز باريس!
NODEL-8d092ee4-1ec6-4927-a7ff-1712008981954;FR-01 Paris;Text;woman;We are in Paris! the city of;نحن في باريس! مدينة
NODEL-347a6af4-a8ae-4e23-b995-1710935631414-fb-b2;FR-01 Paris;Text;Cook;This is flour;هذا هو الطحين
NODEL-8ab110b4-081d-43da-a59b-1712331010391;FR-01 Paris;Text;Guide;Build by Mr Eiffell in 1887;بناها السيد إيفيل عام 1887
NODEL-d2abdba6-3598-4227-9f06-1718630702075;FR-01 Paris;Text;Tutor;Get there as soon as possibile!;اذهب إلى هناك في أقرب وقت ممكن!
NODEL-063e20a2-44e3-40db-83d0-1718631089406;FR-01 Paris;Text;Tutor;I saw Antura going to the Tour Eiffel. If you don't know where to go, follow the light beam in the sky or use the map!;رأيت أنتورا ذاهبا إلى جولة إيفل. إذا كنت لا تعرف إلى أين تذهب، اتبع شعاع الضوء في السماء أو استخدم الخريطة!
NODEL-0ef8fabd-ab1d-4909-a3da-1718640711652;FR-01 Paris;Text;Cook;Help me! Antura has messed my kitchen and i can't find the ingredients to make the Baguette, our special french bread!;"ساعدوني! لقد أفسد ""أنتورا"" مطبخي ولا أستطيع العثور على المكونات اللازمة لصنع الخبز الفرنسي الخاص بنا!"
NODEL-59ce79ca-2742-4081-ab69-1718640800362;FR-01 Paris;Text;Major;I'm the Mayor of Paris. And this is the Notre Dame Cathedral;أنا عمدة باريس. وهذه هي كاتدرائية نوتردام
NODEL-19388fab-c715-4e7a-a847-1718884797577;FR-01 Paris;Text;man;I'm going to work!;أنا ذاهب للعمل!
NODEL-e1f1da80-5725-4989-bd53-1718884830938;FR-01 Paris;Text;man;I'm going to buy bread at the bakery.;سأذهب لشراء الخبز من المخبز
NODEL-abb2227d-8d55-4144-9a4f-1718884817143-ca-b1;FR-01 Paris;Text;man;I wasn't born in this country.;لم أولد في هذا البلد
NODEL-e1f1da80-5725-4989-bd53-1718884830938-ca-b1;FR-01 Paris;Text;man;From planet earth.;من كوكب الأرض
NODEL-0ef8fabd-ab1d-4909-a3da-1718640711652-2b-a9;FR-01 Paris;Text;Cook;Please bring me the 4 ingredients needed: flour, water, yeast and salt.;من فضلك أحضر لي المكونات الأربعة اللازمة: الدقيق والماء والخميرة والملح.
NODEL-0ef8fabd-ab1d-4909-a3da-1718640711652-2b-a9-08-83;FR-01 Paris;Text;Cook;GREAT! I can now bake the Baguette. And...;رائع! يمكنني الآن خبز الرغيف الفرنسي. و...
NODEL-7d268d3e-5238-41b7-bb6d-1719033741117;FR-01 Paris;Text;Guide;I saw Antura going up to the top of the tower. Take the elevator!;"رأيت ""أنتورا"" يصعد إلى أعلى البرج. استقل المصعد!"
NODEL-984f471b-d263-4218-a1ae-1719034299546;FR-01 Paris;Text;Guide;It's made of iron!;!إنه مصنوع من الحديد
NODEL-ad8b5887-450b-4fa4-8f16-1719035075174;FR-01 Paris;Text;Guide;I saw Antura going towards Notre Dame.;"رأيت ""أنتورا"" يتجه نحو ""نوتردام""."
NODEL-70638372-397b-42a0-b61a-1719035140518;FR-01 Paris;Text;Guide;Get there!;!اذهب إلى هناك
NODEL-c6e8c486-9e99-43ac-a3c2-1719035597845;FR-01 Paris;Text;Guide;Here is your ticket;ها هي تذكرتك
NODEL-087410aa-0e91-466d-b820-1719036335876;FR-01 Paris;Text;Major;I saw Antura run into the Louvre Museum...;...رأيت أنتورا يركض نحو متحف اللوفر
NODEL-8c43d347-4f31-4759-bd3a-1719036398561;FR-01 Paris;Text;Major;It's just across the Seine river;إنه على الجانب الآخر من نهر السين
NODHD-fbb93d22-14a9-45b5-b08d-1719037261871;FR-01 Paris;Node Header;man;Have you any questions?;هل لديك أي أسئلة؟
NODEL-92900886-bb0c-4c94-885e-1719037261871;FR-01 Paris;Choice;man;Have you seen Antura?;هل رأيت أنتورا؟
NODEL-a62486b5-a5ca-492a-9bfa-1719037277151;FR-01 Paris;Choice;man;What are you doing?;ماذا تفعل؟
NODEL-c51e6072-8aed-4b7a-be7d-1719037286869;FR-01 Paris;Choice;man;Where do you come from?;من أين أتيت؟
NODEL-1961152c-8727-437a-9597-1719040397700;FR-01 Paris;Choice;man;Goodbye;إلى اللقاء
NODEL-ca53bd2c-5821-4b9e-8d3c-1719040423060;FR-01 Paris;Text;man;Yes! Talk to everybody and follow the lights!;!نعم تحدث إلى الجميع واتبع الأضواء!
NODEL-19c1e1e9-39dd-4a17-9826-1719040561585;FR-01 Paris;Text;man;No. Who is Antura?;لا، من هي أنتورا؟
NODEL-55c6a18f-d51b-41cb-95ca-1719040849056;FR-01 Paris;Text;Major;It's our most famous gothic church, built in 1182.;إنها أشهر كنيسة قوطية بنيت عام 1182
NODEL-4a4225a8-903b-416e-989a-1719042615181;FR-01 Paris;Text;Museum Guide;Go and find the Mona Lisa!;اذهبوا وابحثوا عن لوحة الموناليزا
NODEL-1b8b8637-5b43-4548-adab-1719042680949;FR-01 Paris;Text;Museum Guide;Painted in year 1500 by artist and scientist Leonardo Da Vinci;رسمها الفنان والعالم ليوناردو دافنشي عام 1500
NODEL-28e3efea-e78d-4aab-9811-1719042906729;FR-01 Paris;Text;Museum Guide;You can find many sculptures and paintings.;يمكنك العثور على العديد من المنحوتات واللوحات.
NODEL-a9e61e02-5fa3-4054-a8d4-1719043125977;FR-01 Paris;Text;Teacher;Now look for Antura! I think it went to the bakery for a baguette!;والآن ابحث عن أنتورا! أعتقد أنه ذهب إلى المخبز من أجل الرغيف الفرنسي!
NODEL-90feedf3-44b4-4161-800d-1719043178594;FR-01 Paris;Text;Teacher;Hurry up!;أسرعوا!
NODEL-dd6ac8f1-337d-4514-a614-1719050313176;FR-01 Paris;Text;Cook;CONGRATULATIONS! You won the game! Did you like it?;تهانينا! لقد فزت باللعبة! هل أعجبتك؟
NODEL-347a6af4-a8ae-4e23-b995-1710935631414-fb-b2-ab-89;FR-01 Paris;Text;Cook;This is salt;هذا ملح
NODEL-347a6af4-a8ae-4e23-b995-1710935631414-fb-b2-ab-89-da-bd;FR-01 Paris;Text;Cook;This is water;هذا ماء
NODEL-347a6af4-a8ae-4e23-b995-1710935631414-fb-b2-ab-89-da-bd-79-bc;FR-01 Paris;Text;Cook;This is yeast;هذه خميرة
NODEL-51e149f6-fe37-4043-b64a-1719100015746;FR-01 Paris;Text;Major;There was a big fire in 2019, but we could repair it.;كان هناك حريق كبير في عام 2019، ولكننا استطعنا إصلاحه.
NODEL-1686a93b-a2a2-4347-83a3-1719100183205;FR-01 Paris;Text;Major;Come with me up to the roof of the church!;تعال معي إلى سطح الكنيسة!
NODHD-2be8e0be-f84e-4d4d-9655-1719132050354;FR-01 Paris;Node Header;Museum Guide;Welcome to the Louvre Museum. What do you want do to?;مرحباً بكم في متحف اللوفر ماذا تريد أن تفعل؟
NODEL-82d2e223-c052-4011-8801-1719132050353;FR-01 Paris;Choice;Museum Guide;Tell me about the Louvre;أخبرني عن متحف اللوفر
NODEL-59c7f14c-c6e6-4602-979f-1719132549531;FR-01 Paris;Choice;Museum Guide;Exit;الخروج
NODEL-c636cf4c-c89f-4b46-b6b3-1719132212533;FR-01 Paris;Text;Museum Guide;Come back!;تعالوا
NODHD-504f5b3c-6b24-4b17-a5cc-1719132513272;FR-01 Paris;Node Header;Teacher;Do you want to enter?;هل تريد الدخول؟
NODEL-4d0069e6-7668-4201-b4a3-1719132513271;FR-01 Paris;Choice;Teacher;Yes;نعم
NODEL-600d06c5-ffb8-422b-b2d2-1719132536285;FR-01 Paris;Choice;Teacher;No;لا
NODEL-347a6af4-a8ae-4e23-b995-1710935631414-fb-b2-ab-89-da-bd-49-80;FR-01 Paris;Text;Museum Guide;This is the famous Mona Lisa;هذه هي لوحة الموناليزا الشهيرة
NODEL-6722e661-da10-4749-92c4-1719132852926;FR-01 Paris;Text;Teacher;Good visit!;زيارة جيدة!
NODEL-347a6af4-a8ae-4e23-b995-1710935631414-fb-b2-ab-89-da-bd-49-80-f8-af;FR-01 Paris;Text;Museum Guide;Liberty Leading the People by the French artist Eugène Delacroix represents the Freedom;"لوحة ""الحرية تقود الشعب"" للفنان الفرنسي أوجين ديلاكروا التي تمثل الحرية"
NODEL-347a6af4-a8ae-4e23-b995-1710935631414-fb-b2-ab-89-da-bd-49-80-f8-af-bb-bb;FR-01 Paris;Text;Museum Guide;The Venus de Milo, an ancient Greek marble sculpture.;فينوس دي ميلو، منحوتة رخامية يونانية قديمة من الرخام
NODEL-3711b79d-7180-424d-a5e0-1719134955206;FR-01 Paris;Text;Teacher;Ok;حسناً
NODEL-ee3200a8-e1de-4442-bf0e-1738554505395;FR-01 Paris;Text;kid_male;Hi;مرحباً
NODEL-91664bda-99e5-4c5a-9c99-1738554525164;FR-01 Paris;Text;kid_male;How are you?;كيف حالك؟
NODEL-c7cfe92b-2de5-4256-af21-1730123467818-78-bb;FR-01b Paris - Seine;Text;Tutor;This is the Sein River!;هذا هو نهر السين!
NODEL-6151d64f-2589-455d-ac48-1730127623623-38-86-78-bb;FR-01b Paris - Seine;Text;Tutor;Thank you!;شكراً لك!
NODEL-1720f4eb-8563-4d52-8307-1730127141940-78-bb;FR-01b Paris - Seine;Text;Tutor;I lost 8 photos of the Sein. Can you find them all? Then come back to me!;لقد فقدت 8 صور لنهر السين هل يمكنك العثور عليهم جميعاً؟ ثم عد إليّ!
NODEL-24aa99f3-28b0-474a-962e-1730660461651;FR-01b Paris - Seine;Text;Tutor;This is a bridge for trains!;هذا جسر للقطارات!
NODEL-e1debb63-6449-446a-9f90-1730677236812;FR-01b Paris - Seine;Text;Tutor;Do you know that there are 37 bridges on the Seine?;هل تعلم أن هناك 37 جسراً على نهر السين؟
NODEL-6151d64f-2589-455d-ac48-1730127623623-78-bb-b9-ba;FR-01b Paris - Seine;Text;Tutor;Keep searching for the photos!;استمر في البحث عن الصور!
NODEL-24aa99f3-28b0-474a-962e-1730660461651-7b-ac;FR-01b Paris - Seine;Text;Tutor;This is a bridge for cars!;هذا جسر للسيارات!
NODEL-24aa99f3-28b0-474a-962e-1730660461651-7b-ac-3a-ac;FR-01b Paris - Seine;Text;Tutor;This is a bridge for the people!;هذا جسر للناس!
NODEL-24aa99f3-28b0-474a-962e-1730660461651-69-87;FR-01b Paris - Seine;Text;Tutor;This boat has large windows, so tourista can see the city! it's a bâteaux mouches;يحتوي هذا القارب على نوافذ كبيرة حتى يتمكن السائحون من رؤية المدينة! هذا قارب للسائحين!
NODEL-24aa99f3-28b0-474a-962e-1730660461651-69-87-89-89;FR-01b Paris - Seine;Text;Tutor;<br>This boat is a house! People live here!;<هذا القارب عبارة عن منزل! يعيش الناس هنا!
NODEL-24aa99f3-28b0-474a-962e-1730660461651-69-87-89-89-e8-b5;FR-01b Paris - Seine;Text;Tutor;This boat transports goods;هذا القارب ينقل البضائع
NODEL-992e6a6a-8025-4b10-96b0-1730680306658;FR-01b Paris - Seine;Text;Tutor;Now look at this map or the Seine;انظر الآن إلى هذه الخريطة أو نهر السين
NODHD-b0e2deca-d54c-4683-9f49-1730680394263;FR-01b Paris - Seine;Node Header;Tutor;The Seine is a river which flows into a sea, which one?;نهر السين هو نهر يصب في بحر، أيهما؟
NODEL-ab459983-32e0-439e-8210-1730680394261;FR-01b Paris - Seine;Choice;Tutor;The Mediterranean Sea;البحر الأبيض المتوسط
NODEL-740cd7f3-a305-4045-ac16-1730680430456;FR-01b Paris - Seine;Choice;Tutor;The English Channel;القناة الإنجليزية
NODEL-cff4a20e-fbbe-4818-add4-1739119029895;FR-01b Paris - Seine;Choice;Tutor;The Atlantic Ocean;المحيط الأطلسي
NODEL-0fcf2265-3a91-45bd-a2d7-1730680459166;FR-01b Paris - Seine;Text;Tutor;YES! The Seine flows into the English Channel, north of France;نعم! يصب نهر السين في القناة الإنجليزية، شمال فرنسا
NODEL-0fcf2265-3a91-45bd-a2d7-1730680459166-19-ae;FR-01b Paris - Seine;Text;Tutor;UHMMMM. not really. Look better at the map;ليس تماماً انظر بشكل أفضل إلى الخريطة
NODEL-715ac5c0-0b0a-4559-8b70-1730680551229;FR-01b Paris - Seine;Text;Tutor;Great: you finished this level.;عظيم: لقد انتهيت من هذا المستوى.
NODEL-c05bace0-7e4d-48b2-bece-1730680712522;FR-01b Paris - Seine;Text;man;I would love to ride a train!;أود ركوب القطار!
NODEL-c05bace0-7e4d-48b2-bece-1730680712522-88-b9;FR-01b Paris - Seine;Text;man;No i didn't see your dog;لا لم أرى كلبك
NODEL-e16db791-2a41-4977-bd15-1730785566369;FR-01b Paris - Seine;Text;man;A dog? there are many dogs here...;كلب؟ هناك العديد من الكلاب هنا...
NODEL-c93255f3-a21e-4632-99ca-1730785590315;FR-01b Paris - Seine;Text;man;I saw a dog walking around, yes;رأيت كلباً يتجول، نعم
NODEL-556d5d22-bfcd-4f31-b4d4-1730785640110;FR-01b Paris - Seine;Text;Tutor;The river Seine flows through Paris.;نهر السين يتدفق عبر باريس
NODEL-f9e0d913-e26d-422a-9355-1730785871053;FR-01b Paris - Seine;Text;Tutor;Many people live by this river;الكثير من الناس يعيشون بجانب هذا النهر
NODEL-24aa99f3-28b0-474a-962e-1730660461651-69-87-89-89-e8-b5-89-b3;FR-01b Paris - Seine;Text;Tutor;Look how nice!;!انظر كم هو جميل
NODEL-24aa99f3-28b0-474a-962e-1730660461651-69-87-89-89-e8-b5-89-b3-9b-96;FR-01b Paris - Seine;Text;Tutor;<br>There are many boats;<هناك العديد من القوارب
NODEL-d4bc4850-0625-43b7-ad6b-1739116353752;FR-01b Paris - Seine;Text;woman;"Look: there is an island. ""île de la cité"". It is the historic centre of Paris.";"انظر: هناك جزيرة. ""إيل دو لا سيتيه"". إنه المركز التاريخي لباريس."
NODEL-eacf53ee-9aff-488d-a46f-1739118445009;FR-01b Paris - Seine;Text;woman;This is Pont Alexandre III: an historic monument;"هذا هو ""جسر ألكسندر الثالث"": نصب تذكاري تاريخي"
NODEL-1c708aef-9aec-40db-b294-1739119065536;FR-01b Paris - Seine;Text;Tutor;In this map: name the monuments you recognized.;في هذه الخريطة: قم بتسمية المعالم التي تعرفت عليها.
NODEL-0f62995d-1acd-4a50-9450-1739119231995;FR-01b Paris - Seine;Text;Tutor;Draw a bridge in your notebook! Do you remember the Pont Alexandre 3?;ارسم جسراً في دفتر ملاحظاتك! هل تتذكر جسر ألكسندر 3؟
NODEL-a49069d3-3bd0-4df3-bf34-1711465810762;FR-02 Angers;Text;woman;bring cake to your 3 brothers, then go to your school;أحضر الكعك لإخوتك الثلاثة، ثم اذهب إلى مدرستك
NODEL-ed62b69e-1e93-4c59-b6dd-1711465835401;FR-02 Angers;Text;kid_male;This is the high school (lycee) for kids from 16 to 18 years;هذه هي المدرسة الثانوية (ليسيه) للأطفال من 16 إلى 18 سنة
NODEL-592a2e48-c077-4bf0-ad2c-1728494807998;FR-02 Angers;Text;Tutor;This is the school portal (le portail);هذه هي بوابة المدرسة (le portail)
NODEL-d73224cd-34d7-4e2f-bcf7-1730699412299;FR-02 Angers;Text;woman;and bring cake to your 3 brothers;وأحضر الكعك لإخوتك الثلاثة
NODEL-ed62b69e-1e93-4c59-b6dd-1711465835401-d8-b5;FR-02 Angers;Text;kid_female;This is a collège for kids from 11 to 15 years;هذه مدرسة ثانوية للأطفال من 11 إلى 15 سنة
NODEL-ed62b69e-1e93-4c59-b6dd-1711465835401-d8-b5-1b-bd;FR-02 Angers;Text;kid_male;This is a primary school for young kids from 3 to 5 years;هذه مدرسة ابتدائية للأطفال الصغار من 3 إلى 5 سنوات
NODEL-abc4e189-e836-46ef-887d-1730699764129;FR-02 Angers;Text;Teacher;Here you are in your classroom!;هنا أنت في صفك!
NODEL-abc4e189-e836-46ef-887d-1730699764129-8a-a7;FR-02 Angers;Text;woman;Thank you! The class is at the playground having morning playtime (récréation);شكراً لكم! الفصل في الملعب في وقت اللعب الصباحي (récréation)
NODEL-abc4e189-e836-46ef-887d-1730699764129-8a-a7-19-99;FR-02 Angers;Text;Teacher;Thank you! this is the third class;شكراً لكم! هذا هو الصف الثالث
NODEL-abc4e189-e836-46ef-887d-1730699764129-8a-a7-19-99-09-a8;FR-02 Angers;Text;woman;Thank you! this is the second class;شكراً لكم! هذا هو الصف الثاني
NODEL-abc4e189-e836-46ef-887d-1730699764129-8a-a7-19-99-09-a8-fa-9b;FR-02 Angers;Text;Teacher;Thank you! this is the first class;شكراً لكم! هذا هو الصف الأول
NODEL-abc4e189-e836-46ef-887d-1730699764129-7a-be;FR-02 Angers;Text;Major;Welcome to your school!;مرحباً بكم في مدرستكم!
NODEL-90eae62e-07eb-4998-8310-1730699885900;FR-02 Angers;Text;Major;Can you please give these papers to all the 5 teachers?;هل يمكنك من فضلك إعطاء هذه الأوراق لجميع المعلمين الخمسة؟
NODEL-abc4e189-e836-46ef-887d-1730699764129-8a-a7-68-a3;FR-02 Angers;Text;woman;Yes we do morning playtime every day!;نعم نحن نقوم بوقت اللعب الصباحي كل يوم!
NODEL-84fbf12d-ada8-49b1-9bb2-1730700257661;FR-02 Angers;Text;Teacher;Antura is here to study with you!;أنتورا هنا للدراسة معك!
NODEL-abc4e189-e836-46ef-887d-1730699764129-7a-be-08-8b;FR-02 Angers;Text;Major;Thank you! now you can go back to your class. the 5A;شكرا لك! الآن يمكنك العودة إلى صفك. 5A
NODEL-21cc22d6-0828-4640-afab-1730787928213;FR-02 Angers;Text;Teacher;We studying the alphabet;نحن ندرس الأبجدية
NODEL-8d314fd6-d666-492f-9607-1730787947062;FR-02 Angers;Text;woman;we learning to write;نتعلم الكتابة
NODEL-f95e283e-768f-4823-affa-1730787977571;FR-02 Angers;Text;woman;we watch a movie about celtics with Asterix and Obelix: do you know them?;نشاهد فيلمًا عن السلتية مع أستريكس وأوبليكس: هل تعرفهم؟
NODEL-84fbf12d-ada8-49b1-9bb2-1730700257661-ca-a0;FR-02 Angers;Text;Teacher;Thank you! this is the fifth class;شكراً لكم! هذا هو الفصل الخامس
NODEL-592a2e48-c077-4bf0-ad2c-1728494807998-5b-90;FR-02 Angers;Text;Tutor;Here are all our classes. How old are you?;ها هي كل صفوفنا كم عمرك؟
NODEL-ab654cf9-beef-44d9-acbc-1730801462783;FR-02 Angers;Text;Teacher;Now you are old enough. From now on you have to bring your schoolbag;الآن أنت كبير بما فيه الكفاية من الآن فصاعداً عليك أن تحضر حقيبتك المدرسية
NODEL-f62e6819-bf0e-4f88-8e1e-1730700373238;FR-03 Nantes;Text;Tutor;This is Jules Verne! He was a WRITER;هذا هو جول فيرن كان كاتباً
NODEL-1d320e32-1318-4def-90a1-1730701124390;FR-03 Nantes;Text;Tutor;He was born in Nantes in 1828;ولد في مدينة نانت عام 1828
NODEL-6ee86be0-4091-4080-a274-1730701185448;FR-03 Nantes;Text;Tutor;This is the map on Nantes;هذه خريطة نانت
NODEL-c1cda02f-fdc1-4372-a1a3-1711465867579-2b-a8-19-a8;FR-03 Nantes;Text;Museum Guide;Welcome to the house of Jules Verne!;مرحباً بكم في منزل جول فيرن!
NODEL-d89ee8eb-e5bd-4c99-84c1-1730700360352;FR-03 Nantes;Text;Museum Guide;Explore the house and find FOUR of his books!;استكشف المنزل واعثر على أربعة من كتبه!
NODEL-476eb9ee-f4e4-46c2-bbba-1730701006089;FR-03 Nantes;Text;Museum Guide;GREAT! You met Jules Verne, the most famous writer of sci-fiction!;رائع! لقد قابلت جول فيرن، أشهر كتاب الخيال العلمي!
NODEL-6c9acdb3-fb1f-4a91-ba54-1730700903283;FR-03 Nantes;Text;Tutor;This is an old train;هذا قطار قديم
NODEL-a49069d3-3bd0-4df3-bf34-1711465810762-2b-a8-19-a8;FR-03 Nantes;Text;Tutor;"This book is ""Around the World in 80 Days""";"هذا الكتاب هو ""حول العالم في 80 يوماً"""
NODEL-ff0574b6-bff3-49c9-9918-1730700785355;FR-03 Nantes;Text;Tutor;This is a space rocket;هذا صاروخ فضائي
NODEL-a49069d3-3bd0-4df3-bf34-1711465810762-2b-a8-19-a8-ba-b1;FR-03 Nantes;Text;Tutor;"This book is ""From earth to the Moon""";"هذا الكتاب هو ""من الأرض إلى القمر"""
NODEL-8854e1ad-5575-4b2c-a175-1730700720785;FR-03 Nantes;Text;Tutor;This is a submarine;هذه غواصة
NODEL-ed62b69e-1e93-4c59-b6dd-1711465835401-2b-a8-19-a8;FR-03 Nantes;Text;Tutor;This book is Twenty Thousand Leagues Under the Seas;"هذا الكتاب هو ""عشرون ألف فرسخ تحت البحار"
NODEL-a7e6a44d-60f3-4106-a4b3-1730700614425;FR-03 Nantes;Text;Tutor;This is a Balloon. It flies by hot air.;"هذا بالون هذا الكتاب هو ""يطير بالهواء الساخن"
NODEL-c1cda02f-fdc1-4372-a1a3-1711465867579-08-ad-2b-a8-19-a8;FR-03 Nantes;Text;Tutor;this book is Five Weeks in a Balloon;"هذا الكتاب هو ""خمسة أسابيع في منطاد"" هذا الكتاب هو ""خمسة أسابيع في منطاد"
NODEL-c1cda02f-fdc1-4372-a1a3-1711465867579-08-ad-2b-a8-5b-91;FR-04 Le Mans;Text;man;This is the race of Le Mans;--- to be translated ---
NODEL-c1cda02f-fdc1-4372-a1a3-1711465867579-08-ad-2b-a8;FR-04 Le Mans;Text;man;Cars are very fast!;--- to be translated ---
NODEL-d77b2ae3-62dd-4524-b40b-1730701346118;FR-04 Le Mans;Text;man;Only adults can drive them.;--- to be translated ---
NODEL-103a91dc-17c4-43d2-97f3-1730701540291;FR-04 Le Mans;Text;Guide;The race is finished. Go back home by train!;--- to be translated ---
NODEL-d9b2b2dd-0415-445c-acad-1730789250882;FR-04 Le Mans;Text;man;BUT PAY ATTENTION!;--- to be translated ---
NODEL-a49069d3-3bd0-4df3-bf34-1711465810762-2b-a8;FR-04 Le Mans;Text;Tutor;At the STOP sign you ALWAYS have to stop. ALWAYS;--- to be translated ---
NODEL-3b3cd804-0a0b-4410-a7e9-1730789296213;FR-04 Le Mans;Text;Tutor;you didn't pay attention! retry!;--- to be translated ---
NODEL-4763c152-353c-41a5-9c2c-1730701753588;FR-04 Le Mans;Text;Tutor;They are TRIANGLE;--- to be translated ---
NODEL-a49069d3-3bd0-4df3-bf34-1711465810762-2b-a8-d9-b3;FR-04 Le Mans;Text;Tutor;at the DANGER sign you have to pay attention;--- to be translated ---
NODEL-488b0324-34e9-49ac-a179-1730701841640;FR-04 Le Mans;Text;Tutor;YELLOW: SLOW DOWN;--- to be translated ---
NODEL-bdfe4814-5757-4232-b050-1730701843528;FR-04 Le Mans;Text;Tutor;GREEN: GO!;--- to be translated ---
NODEL-3fc9fa4d-ab1c-4bde-8e44-1730701839323;FR-04 Le Mans;Text;Tutor;RED: STOP;--- to be translated ---
NODEL-a49069d3-3bd0-4df3-bf34-1711465810762-2b-a8-d9-b3-09-bb;FR-04 Le Mans;Text;Tutor;at the TRAFFIC LIGHTS you must follow the color;--- to be translated ---
