id;flow;type;actor;EN;FR
NODEL-054a099c-3b64-4154-a8b8-1712008446095;FR-01 Paris;Text;woman;Well.. it seems like a videogame, isn't it?;Eh bien... on dirait un jeu vidéo, n'est-ce pas ?
NODEL-4166dc79-0c63-4ce2-bbe1-1710913364361-c9-aa;FR-01 Paris;Text;Guide;Hello. The ticket for the Tour Eiffel costs 3 coins.;Bonjour. Le billet pour la Tour Eiffel coûte 3 pièces.
NODEL-347a6af4-a8ae-4e23-b995-1710935631414;FR-01 Paris;Text;Tutor;Collect all coins!;Ramassez toutes les pièces !
NODHD-2c2ce3c6-a992-4ddf-ab6b-1712008911691;FR-01 Paris;Node Header;woman;Ciao. What do you want to know?;Ciao. Qu'est-ce que tu veux savoir ?
NODEL-ad9f781a-fbe4-4c9f-a8bb-1712008911691;FR-01 Paris;Choice;woman;What is the Eiffel Tower?;Qu'est-ce que la Tour Eiffel ?
NODEL-d7d20660-68bd-4d95-8a05-1712008940440;FR-01 Paris;Choice;woman;Where are we?;Où sommes-nous ?
NODEL-737c811d-7a1d-485e-b0eb-1712008942785;FR-01 Paris;Choice;woman;Is this place real?;Cet endroit est-il réel ?
NODEL-f3aa4401-331a-4459-9734-1719036941721;FR-01 Paris;Choice;woman;Nothing. Bye.;Rien. Au revoir.
NODEL-b4c96a33-20ea-49d8-85bb-1712008976099;FR-01 Paris;Text;woman;The famous iron tower 300 meters tall. The symbol of Paris!;La célèbre tour de fer de 300 mètres de haut. Le symbole de Paris !
NODEL-8d092ee4-1ec6-4927-a7ff-1712008981954;FR-01 Paris;Text;woman;We are in Paris! the city of;Nous sommes à Paris ! la ville de
NODEL-347a6af4-a8ae-4e23-b995-1710935631414-fb-b2;FR-01 Paris;Text;Cook;This is flour;C'est de la farine
NODEL-8ab110b4-081d-43da-a59b-1712331010391;FR-01 Paris;Text;Guide;Build by Mr Eiffell in 1887;Construite par M. Eiffell en 1887
NODEL-d2abdba6-3598-4227-9f06-1718630702075;FR-01 Paris;Text;Tutor;Get there as soon as possibile!;Allez-y le plus vite possible !
NODEL-063e20a2-44e3-40db-83d0-1718631089406;FR-01 Paris;Text;Tutor;I saw Antura going to the Tour Eiffel. If you don't know where to go, follow the light beam in the sky or use the map!;J'ai vu Antura aller à la Tour Eiffel. Si tu ne sais pas où aller, suis le faisceau lumineux dans le ciel ou utilise la carte !
NODEL-0ef8fabd-ab1d-4909-a3da-1718640711652;FR-01 Paris;Text;Cook;Help me! Antura has messed my kitchen and i can't find the ingredients to make the Baguette, our special french bread!;Aide-moi ! Antura a mis le bazar dans ma cuisine et je n'arrive pas à trouver les ingrédients pour faire la baguette, notre pain spécial !
NODEL-59ce79ca-2742-4081-ab69-1718640800362;FR-01 Paris;Text;Major;I'm the Major of Paris. And this is the Notre Dame Cathedral;Je suis le commandant de Paris. Et voici la cathédrale Notre-Dame
NODEL-19388fab-c715-4e7a-a847-1718884797577;FR-01 Paris;Text;man;I'm going to work!;Je vais travailler !
NODEL-e1f1da80-5725-4989-bd53-1718884830938;FR-01 Paris;Text;man;I'm going to buy bread at the bakery.;Je vais acheter du pain à la boulangerie.
NODEL-abb2227d-8d55-4144-9a4f-1718884817143-ca-b1;FR-01 Paris;Text;man;I wasn't born in this country.;Je ne suis pas né dans ce pays.
NODEL-e1f1da80-5725-4989-bd53-1718884830938-ca-b1;FR-01 Paris;Text;man;From planet earth.;De la planète terre.
NODEL-0ef8fabd-ab1d-4909-a3da-1718640711652-2b-a9;FR-01 Paris;Text;Cook;Please bring me the 4 ingredients needed: flour, water, yeast and salt.;Apportez-moi les 4 ingrédients nécessaires : farine, eau, levure et sel.
NODEL-0ef8fabd-ab1d-4909-a3da-1718640711652-2b-a9-08-83;FR-01 Paris;Text;Cook;GREAT! I can now bake the Baguette. And...;C'EST SUPER ! Je peux maintenant faire cuire la baguette. Et...
NODEL-7d268d3e-5238-41b7-bb6d-1719033741117;FR-01 Paris;Text;Guide;I saw Antura going up to the top of the tower. Take the elevator!;J'ai vu Antura monter au sommet de la tour. Prends l'ascenseur !
NODEL-984f471b-d263-4218-a1ae-1719034299546;FR-01 Paris;Text;Guide;It's made of iron!;Il est en fer !
NODEL-ad8b5887-450b-4fa4-8f16-1719035075174;FR-01 Paris;Text;Guide;I saw Antura going towards Notre Dame.;J'ai vu Antura aller vers Notre-Dame.
NODEL-70638372-397b-42a0-b61a-1719035140518;FR-01 Paris;Text;Guide;Get there!;Allez-y !
NODEL-c6e8c486-9e99-43ac-a3c2-1719035597845;FR-01 Paris;Text;Guide;Here is your ticket;Voici ton billet
NODEL-087410aa-0e91-466d-b820-1719036335876;FR-01 Paris;Text;Major;I saw Antura run into the Louvre Museum...;J'ai vu Antura entrer en courant dans le musée du Louvre...
NODEL-8c43d347-4f31-4759-bd3a-1719036398561;FR-01 Paris;Text;Major;It's just across the Seine river;C'est juste de l'autre côté de la Seine
NODHD-fbb93d22-14a9-45b5-b08d-1719037261871;FR-01 Paris;Node Header;man;Have you any questions?;Vous avez des questions ?
NODEL-92900886-bb0c-4c94-885e-1719037261871;FR-01 Paris;Choice;man;Have you seen Antura?;Tu as vu Antura ?
NODEL-a62486b5-a5ca-492a-9bfa-1719037277151;FR-01 Paris;Choice;man;What are you doing?;Qu'est-ce que tu fais ?
NODEL-c51e6072-8aed-4b7a-be7d-1719037286869;FR-01 Paris;Choice;man;Where do you come from?;D'où venez-vous ?
NODEL-1961152c-8727-437a-9597-1719040397700;FR-01 Paris;Choice;man;Goodbye;Au revoir
NODEL-ca53bd2c-5821-4b9e-8d3c-1719040423060;FR-01 Paris;Text;man;Yes! Talk to everybody and follow the lights!;Oui ! Parlez à tout le monde et suivez les lumières !
NODEL-19c1e1e9-39dd-4a17-9826-1719040561585;FR-01 Paris;Text;man;No. Who is Antura?;Non. Qui est Antura ?
NODEL-55c6a18f-d51b-41cb-95ca-1719040849056;FR-01 Paris;Text;Major;It's our most famous gothic church, built in 1182.;C'est notre église gothique la plus célèbre, construite en 1182.
NODEL-4a4225a8-903b-416e-989a-1719042615181;FR-01 Paris;Text;Museum Guide;Go and find the Mona Lisa!;Va chercher la Joconde !
NODEL-1b8b8637-5b43-4548-adab-1719042680949;FR-01 Paris;Text;Museum Guide;Painted in year 1500 by artist and scientist Leonardo Da Vinci;Peinte en 1500 par l'artiste et scientifique Léonard de Vinci.
NODEL-28e3efea-e78d-4aab-9811-1719042906729;FR-01 Paris;Text;Museum Guide;You can find many sculptures and paintings.;Tu trouveras de nombreuses sculptures et peintures.
NODEL-a9e61e02-5fa3-4054-a8d4-1719043125977;FR-01 Paris;Text;Teacher;Now look for Antura! I think it went to the bakery for a baguette!;Maintenant, cherche Antura ! Je crois qu'il est allé chercher une baguette à la boulangerie !
NODEL-90feedf3-44b4-4161-800d-1719043178594;FR-01 Paris;Text;Teacher;Hurry up!;Dépêche-toi !
NODEL-dd6ac8f1-337d-4514-a614-1719050313176;FR-01 Paris;Text;Cook;CONGRATULATIONS! You won the game! Did you like it?;FÉLICITATIONS ! Tu as gagné le jeu ! Tu as aimé ?
NODEL-347a6af4-a8ae-4e23-b995-1710935631414-fb-b2-ab-89;FR-01 Paris;Text;Cook;This is salt;C'est du sel
NODEL-347a6af4-a8ae-4e23-b995-1710935631414-fb-b2-ab-89-da-bd;FR-01 Paris;Text;Cook;This is water;C'est de l'eau
NODEL-347a6af4-a8ae-4e23-b995-1710935631414-fb-b2-ab-89-da-bd-79-bc;FR-01 Paris;Text;Cook;This is yeast;C'est de la levure
NODEL-51e149f6-fe37-4043-b64a-1719100015746;FR-01 Paris;Text;Major;There was a big fire in 2019, but we could repair it.;Il y a eu un grand incendie en 2019, mais nous avons pu le réparer.
NODEL-1686a93b-a2a2-4347-83a3-1719100183205;FR-01 Paris;Text;Major;Come with me up to the roof of the church!;Viens avec moi sur le toit de l'église !
NODHD-2be8e0be-f84e-4d4d-9655-1719132050354;FR-01 Paris;Node Header;Museum Guide;Welcome to the Louvre Museum. What do you want do to?;Bienvenue au musée du Louvre. Que veux-tu faire ?
NODEL-82d2e223-c052-4011-8801-1719132050353;FR-01 Paris;Choice;Museum Guide;Tell me about the Louvre;Me parler du Louvre
NODEL-59c7f14c-c6e6-4602-979f-1719132549531;FR-01 Paris;Choice;Museum Guide;Exit;Sortez
NODEL-c636cf4c-c89f-4b46-b6b3-1719132212533;FR-01 Paris;Text;Museum Guide;Come back!;Revenez !
NODHD-504f5b3c-6b24-4b17-a5cc-1719132513272;FR-01 Paris;Node Header;Teacher;Do you want to enter?;Voulez-vous entrer ?
NODEL-4d0069e6-7668-4201-b4a3-1719132513271;FR-01 Paris;Choice;Teacher;Yes;Oui
NODEL-600d06c5-ffb8-422b-b2d2-1719132536285;FR-01 Paris;Choice;Teacher;No;Non
NODEL-347a6af4-a8ae-4e23-b995-1710935631414-fb-b2-ab-89-da-bd-49-80;FR-01 Paris;Text;Museum Guide;This is the famous Mona Lisa;Voici la célèbre Mona Lisa
NODEL-6722e661-da10-4749-92c4-1719132852926;FR-01 Paris;Text;Teacher;Good visit!;Bonne visite !
NODEL-347a6af4-a8ae-4e23-b995-1710935631414-fb-b2-ab-89-da-bd-49-80-f8-af;FR-01 Paris;Text;Museum Guide;Liberty Leading the People by the French artist Eugène Delacroix represents the Freedom;La Liberté guidant le peuple de l'artiste français Eugène Delacroix représente la Liberté.
NODEL-347a6af4-a8ae-4e23-b995-1710935631414-fb-b2-ab-89-da-bd-49-80-f8-af-bb-bb;FR-01 Paris;Text;Museum Guide;The Venus de Milo, an ancient Greek marble sculpture.;La Vénus de Milo, une ancienne sculpture grecque en marbre.
NODEL-3711b79d-7180-424d-a5e0-1719134955206;FR-01 Paris;Text;Teacher;Ok;D'accord
NODEL-ee3200a8-e1de-4442-bf0e-1738554505395;FR-01 Paris;Text;kid_male;Hi;Bonjour
NODEL-91664bda-99e5-4c5a-9c99-1738554525164;FR-01 Paris;Text;kid_male;How are you?;Comment allez-vous ?
NODEL-c7cfe92b-2de5-4256-af21-1730123467818-78-bb;FR-01b Paris - Seine;Text;Tutor;This is the Sein River!;C'est la rivière Sein !
NODEL-6151d64f-2589-455d-ac48-1730127623623-38-86-78-bb;FR-01b Paris - Seine;Text;Tutor;Thank you!;Merci !
NODEL-1720f4eb-8563-4d52-8307-1730127141940-78-bb;FR-01b Paris - Seine;Text;Tutor;I lost 8 photos of the Sein. Can you find them all? Then come back to me!;J'ai perdu 8 photos de la Sein. Peux-tu les retrouver toutes ? Alors reviens me voir !
NODEL-24aa99f3-28b0-474a-962e-1730660461651;FR-01b Paris - Seine;Text;Tutor;This is a bridge for trains!;C'est un pont pour les trains !
NODEL-e1debb63-6449-446a-9f90-1730677236812;FR-01b Paris - Seine;Text;Tutor;Do you know that there are 37 bridges on the Seine?;Sais-tu qu'il y a 37 ponts sur la Seine ?
NODEL-6151d64f-2589-455d-ac48-1730127623623-78-bb-b9-ba;FR-01b Paris - Seine;Text;Tutor;Keep searching for the photos!;Continue à chercher les photos !
NODEL-24aa99f3-28b0-474a-962e-1730660461651-7b-ac;FR-01b Paris - Seine;Text;Tutor;This is a bridge for cars!;C'est un pont pour les voitures !
NODEL-24aa99f3-28b0-474a-962e-1730660461651-7b-ac-3a-ac;FR-01b Paris - Seine;Text;Tutor;This is a bridge for the people!;Voici un pont pour les gens !
NODEL-24aa99f3-28b0-474a-962e-1730660461651-69-87;FR-01b Paris - Seine;Text;Tutor;This boat has large windows, so tourista can see the city! it's a bâteaux mouches;Ce bateau a de grandes fenêtres, pour que les touristes puissent voir la ville ! C'est un bâteau mouches.
NODEL-24aa99f3-28b0-474a-962e-1730660461651-69-87-89-89;FR-01b Paris - Seine;Text;Tutor;<br>This boat is a house! People live here!;<br>Ce bateau est une maison ! Les gens vivent ici !
NODEL-24aa99f3-28b0-474a-962e-1730660461651-69-87-89-89-e8-b5;FR-01b Paris - Seine;Text;Tutor;This boat transports goods;Ce bateau transporte des marchandises
NODEL-992e6a6a-8025-4b10-96b0-1730680306658;FR-01b Paris - Seine;Text;Tutor;Now look at this map or the Seine;Maintenant, regarde cette carte de la Seine
NODHD-b0e2deca-d54c-4683-9f49-1730680394263;FR-01b Paris - Seine;Node Header;Tutor;The Seine is a river which flows into a sea, which one?;La Seine est un fleuve qui se jette dans une mer, laquelle ?
NODEL-ab459983-32e0-439e-8210-1730680394261;FR-01b Paris - Seine;Choice;Tutor;The Mediterranean Sea;La mer Méditerranée
NODEL-740cd7f3-a305-4045-ac16-1730680430456;FR-01b Paris - Seine;Choice;Tutor;The English Channel;La Manche
NODEL-cff4a20e-fbbe-4818-add4-1739119029895;FR-01b Paris - Seine;Choice;Tutor;The Atlantic Ocean;L'océan Atlantique
NODEL-0fcf2265-3a91-45bd-a2d7-1730680459166;FR-01b Paris - Seine;Text;Tutor;YES! The Seine flows into the English Channel, north of France;OUI ! La Seine se jette dans la Manche, au nord de la France.
NODEL-0fcf2265-3a91-45bd-a2d7-1730680459166-19-ae;FR-01b Paris - Seine;Text;Tutor;UHMMMM. not really. Look better at the map;UHMMMM. Pas vraiment. Regarde mieux la carte
NODEL-715ac5c0-0b0a-4559-8b70-1730680551229;FR-01b Paris - Seine;Text;Tutor;Great: you finished this level.;Super : tu as terminé ce niveau.
NODEL-c05bace0-7e4d-48b2-bece-1730680712522;FR-01b Paris - Seine;Text;man;I would love to ride a train!;J'aimerais bien prendre le train !
NODEL-c05bace0-7e4d-48b2-bece-1730680712522-88-b9;FR-01b Paris - Seine;Text;man;No i didn't see your dog;Non, je n'ai pas vu votre chien
NODEL-e16db791-2a41-4977-bd15-1730785566369;FR-01b Paris - Seine;Text;man;A dog? there are many dogs here...;Un chien ? Il y a beaucoup de chiens ici...
NODEL-c93255f3-a21e-4632-99ca-1730785590315;FR-01b Paris - Seine;Text;man;I saw a dog walking around, yes;J'ai vu un chien se promener, oui
NODEL-556d5d22-bfcd-4f31-b4d4-1730785640110;FR-01b Paris - Seine;Text;Tutor;The river Seine flows through Paris.;La Seine traverse Paris.
NODEL-f9e0d913-e26d-422a-9355-1730785871053;FR-01b Paris - Seine;Text;Tutor;Many people live by this river;Beaucoup de gens vivent au bord de ce fleuve
NODEL-24aa99f3-28b0-474a-962e-1730660461651-69-87-89-89-e8-b5-89-b3;FR-01b Paris - Seine;Text;Tutor;Look how nice!;Regarde comme c'est beau !
NODEL-24aa99f3-28b0-474a-962e-1730660461651-69-87-89-89-e8-b5-89-b3-9b-96;FR-01b Paris - Seine;Text;Tutor;<br>There are many boats;<br>Il y a beaucoup de bateaux
NODEL-d4bc4850-0625-43b7-ad6b-1739116353752;FR-01b Paris - Seine;Text;woman;"Look: there is an island. ""île de la cité"". It is the historic centre of Paris.";Regarde : il y a une île. « L'île de la cité. C'est le centre historique de Paris.
NODEL-eacf53ee-9aff-488d-a46f-1739118445009;FR-01b Paris - Seine;Text;woman;This is Pont Alexandre III: an historic monument;Voici le Pont Alexandre III : un monument historique
NODEL-1c708aef-9aec-40db-b294-1739119065536;FR-01b Paris - Seine;Text;Tutor;In this map: name the monuments you recognized.;Sur cette carte : nomme les monuments que tu as reconnus.
NODEL-0f62995d-1acd-4a50-9450-1739119231995;FR-01b Paris - Seine;Text;Tutor;Draw a bridge in your notebook! Do you remember the Pont Alexandre 3?;Dessine un pont sur ton cahier ! Te souviens-tu du Pont Alexandre 3 ?
NODEL-a49069d3-3bd0-4df3-bf34-1711465810762;FR-02 Angers;Text;woman;bring cake to your 3 brothers, then go to your school;apporte le gâteau à tes 3 frères, puis va à ton école
NODEL-ed62b69e-1e93-4c59-b6dd-1711465835401;FR-02 Angers;Text;kid_male;This is the high school (lycee) for kids from 16 to 18 years;Voici le lycée pour les jeunes de 16 à 18 ans.
NODEL-592a2e48-c077-4bf0-ad2c-1728494807998;FR-02 Angers;Text;Tutor;This is the school portal (le portail);C'est le portail de l'école
NODEL-d73224cd-34d7-4e2f-bcf7-1730699412299;FR-02 Angers;Text;woman;and bring cake to your 3 brothers;et apporte des gâteaux à tes 3 frères
NODEL-ed62b69e-1e93-4c59-b6dd-1711465835401-d8-b5;FR-02 Angers;Text;kid_female;This is a collège for kids from 11 to 15 years;Voici un collège pour les enfants de 11 à 15 ans
NODEL-ed62b69e-1e93-4c59-b6dd-1711465835401-d8-b5-1b-bd;FR-02 Angers;Text;kid_male;This is a primary school for young kids from 3 to 5 years;Voici une école primaire pour les enfants de 3 à 5 ans
NODEL-abc4e189-e836-46ef-887d-1730699764129;FR-02 Angers;Text;Teacher;Here you are in your classroom!;Te voilà dans ta classe !
NODEL-abc4e189-e836-46ef-887d-1730699764129-8a-a7;FR-02 Angers;Text;woman;Thank you! The class is at the playground having morning playtime (récréation);Merci de votre attention ! La classe est dans la cour de récréation (récréation)
NODEL-abc4e189-e836-46ef-887d-1730699764129-8a-a7-19-99;FR-02 Angers;Text;Teacher;Thank you! this is the third class;Merci ! c'est la troisième classe
NODEL-abc4e189-e836-46ef-887d-1730699764129-8a-a7-19-99-09-a8;FR-02 Angers;Text;woman;Thank you! this is the second class;Merci ! c'est la deuxième classe
NODEL-abc4e189-e836-46ef-887d-1730699764129-8a-a7-19-99-09-a8-fa-9b;FR-02 Angers;Text;Teacher;Thank you! this is the first class;Merci ! Voici la première classe
NODEL-abc4e189-e836-46ef-887d-1730699764129-7a-be;FR-02 Angers;Text;Major;Welcome to your school!;Bienvenue dans votre école !
NODEL-90eae62e-07eb-4998-8310-1730699885900;FR-02 Angers;Text;Major;Can you please give these papers to all the 5 teachers?;Pouvez-vous s'il vous plaît donner ces papiers aux 5 enseignants ?
NODEL-abc4e189-e836-46ef-887d-1730699764129-8a-a7-68-a3;FR-02 Angers;Text;woman;Yes we do morning playtime every day!;Oui, nous faisons la récréation du matin tous les jours !
NODEL-84fbf12d-ada8-49b1-9bb2-1730700257661;FR-02 Angers;Text;Teacher;Antura is here to study with you!;Antura est ici pour étudier avec toi !
NODEL-abc4e189-e836-46ef-887d-1730699764129-7a-be-08-8b;FR-02 Angers;Text;Major;Thank you! now you can go back to your class. the 5A;Merci ! Maintenant vous pouvez retourner dans votre classe. les 5A
NODEL-21cc22d6-0828-4640-afab-1730787928213;FR-02 Angers;Text;Teacher;We studying the alphabet;Nous étudions l'alphabet
NODEL-8d314fd6-d666-492f-9607-1730787947062;FR-02 Angers;Text;woman;we learning to write;Nous apprenons à écrire
NODEL-f95e283e-768f-4823-affa-1730787977571;FR-02 Angers;Text;woman;we watch a movie about celtics with Asterix and Obelix: do you know them?;Nous regardons un film sur les Celtics avec Astérix et Obélix : les connaissez-vous ?
NODEL-84fbf12d-ada8-49b1-9bb2-1730700257661-ca-a0;FR-02 Angers;Text;Teacher;Thank you! this is the fifth class;Merci ! Voici la cinquième classe
NODEL-592a2e48-c077-4bf0-ad2c-1728494807998-5b-90;FR-02 Angers;Text;Tutor;Here are all our classes. How old are you?;Voici toutes nos classes. Quel âge as-tu ?
NODEL-ab654cf9-beef-44d9-acbc-1730801462783;FR-02 Angers;Text;Teacher;Now you are old enough. From now on you have to bring your schoolbag;Maintenant, tu as l'âge requis. A partir de maintenant, tu dois apporter ton cartable.
NODEL-f62e6819-bf0e-4f88-8e1e-1730700373238;FR-03 Nantes;Text;Tutor;This is Jules Verne! He was a WRITER;Voici Jules Verne ! C'était un ÉCRIVAIN
NODEL-1d320e32-1318-4def-90a1-1730701124390;FR-03 Nantes;Text;Tutor;He was born in Nantes in 1828;Il est né à Nantes en 1828
NODEL-6ee86be0-4091-4080-a274-1730701185448;FR-03 Nantes;Text;Tutor;This is the map on Nantes;Voici la carte de Nantes
NODEL-c1cda02f-fdc1-4372-a1a3-1711465867579-2b-a8-19-a8;FR-03 Nantes;Text;Museum Guide;Welcome to the house of Jules Verne!;Bienvenue dans la maison de Jules Verne !
NODEL-d89ee8eb-e5bd-4c99-84c1-1730700360352;FR-03 Nantes;Text;Museum Guide;Explore the house and find FOUR of his books!;Explore la maison et trouve QUATRE de ses livres !
NODEL-476eb9ee-f4e4-46c2-bbba-1730701006089;FR-03 Nantes;Text;Museum Guide;GREAT! You met Jules Verne, the most famous writer of sci-fiction!;GRAND ! Tu as rencontré Jules Verne, le plus célèbre écrivain de science-fiction !
NODEL-6c9acdb3-fb1f-4a91-ba54-1730700903283;FR-03 Nantes;Text;Tutor;This is an old train;Voici un vieux train
NODEL-a49069d3-3bd0-4df3-bf34-1711465810762-2b-a8-19-a8;FR-03 Nantes;Text;Tutor;"This book is ""Around the World in 80 Days""";"Ce livre est « Le tour du monde en 80 jours »."
NODEL-ff0574b6-bff3-49c9-9918-1730700785355;FR-03 Nantes;Text;Tutor;This is a space rocket;Voici une fusée spatiale
NODEL-a49069d3-3bd0-4df3-bf34-1711465810762-2b-a8-19-a8-ba-b1;FR-03 Nantes;Text;Tutor;"This book is ""From earth to the Moon""";"Ce livre est « De la Terre à la Lune »."
NODEL-8854e1ad-5575-4b2c-a175-1730700720785;FR-03 Nantes;Text;Tutor;This is a submarine;Ceci est un sous-marin
NODEL-ed62b69e-1e93-4c59-b6dd-1711465835401-2b-a8-19-a8;FR-03 Nantes;Text;Tutor;This book is Twenty Thousand Leagues Under the Seas;"Ce livre est « Vingt mille lieues sous les mers »."
NODEL-a7e6a44d-60f3-4106-a4b3-1730700614425;FR-03 Nantes;Text;Tutor;This is a Balloon. It flies by hot air.;Ceci est un ballon. Il vole à l'air chaud.
NODEL-c1cda02f-fdc1-4372-a1a3-1711465867579-08-ad-2b-a8-19-a8;FR-03 Nantes;Text;Tutor;this book is Five Weeks in a Balloon;Ce livre est Cinq semaines en ballon
NODEL-c1cda02f-fdc1-4372-a1a3-1711465867579-08-ad-2b-a8-5b-91;FR-04 Le Mans;Text;man;This is the race of Le Mans;C'est la course du Mans
NODEL-c1cda02f-fdc1-4372-a1a3-1711465867579-08-ad-2b-a8;FR-04 Le Mans;Text;man;Cars are very fast!;Les voitures sont très rapides !
NODEL-d77b2ae3-62dd-4524-b40b-1730701346118;FR-04 Le Mans;Text;man;Only adults can drive them.;Seuls les adultes peuvent les conduire.
NODEL-103a91dc-17c4-43d2-97f3-1730701540291;FR-04 Le Mans;Text;Guide;The race is finished. Go back home by train!;La course est terminée. Rentrez chez vous en train !
NODEL-d9b2b2dd-0415-445c-acad-1730789250882;FR-04 Le Mans;Text;man;BUT PAY ATTENTION!;MAIS FAIS ATTENTION !
NODEL-a49069d3-3bd0-4df3-bf34-1711465810762-2b-a8;FR-04 Le Mans;Text;Tutor;At the STOP sign you ALWAYS have to stop. ALWAYS;Au panneau STOP, il faut TOUJOURS s'arrêter. TOUJOURS
NODEL-3b3cd804-0a0b-4410-a7e9-1730789296213;FR-04 Le Mans;Text;Tutor;you didn't pay attention! retry!;tu n'as pas fait attention ! réessaie !
NODEL-4763c152-353c-41a5-9c2c-1730701753588;FR-04 Le Mans;Text;Tutor;They are TRIANGLE;Ils sont en TRIANGLE
NODEL-a49069d3-3bd0-4df3-bf34-1711465810762-2b-a8-d9-b3;FR-04 Le Mans;Text;Tutor;at the DANGER sign you have to pay attention;au panneau DANGER tu dois faire attention
NODEL-488b0324-34e9-49ac-a179-1730701841640;FR-04 Le Mans;Text;Tutor;YELLOW: SLOW DOWN;JAUNE : RALENTISSEZ
NODEL-bdfe4814-5757-4232-b050-1730701843528;FR-04 Le Mans;Text;Tutor;GREEN: GO!;VERT : ALLEZ !
NODEL-3fc9fa4d-ab1c-4bde-8e44-1730701839323;FR-04 Le Mans;Text;Tutor;RED: STOP;ROUGE : STOP
NODEL-a49069d3-3bd0-4df3-bf34-1711465810762-2b-a8-d9-b3-09-bb;FR-04 Le Mans;Text;Tutor;at the TRAFFIC LIGHTS you must follow the color;aux FEUX DE CIRCULATION, vous devez suivre la couleur
NODEL-a49069d3-3bd0-4df3-bf34-1711465810762-2b-a8-d9-b3-09-bb-aa-87;FR-04 Le Mans;Text;Tutor;at the ZEBRA CROSSING you ALWAYS must stop to let people cross the street;au CROISEMENT DE ZEBRA, tu dois TOUJOURS t'arrêter pour permettre aux gens de traverser la rue.
NODEL-f0672959-47d7-4683-a826-1730701983386;FR-05 Castles;Text;Guide;Antura ran away and is hidden in a castle!;Antura s'est enfui et est caché dans un château !
NODEL-f0672959-47d7-4683-a826-1730701983386-0a-b3;FR-05 Castles;Text;Museum Guide;This is the castle of Chinon;Voici le château de Chinon
NODEL-f0672959-47d7-4683-a826-1730701983386-0a-b3-1a-a8;FR-05 Castles;Text;Museum Guide;Welcome to castle Chambord;Bienvenue au château de Chambord
