id;flow;type;actor;EN;IT
NODEL-0ef8fabd-ab1d-4909-a3da-1718640711652-2b-a9-08-83;FR-01 Paris;Text;Cook;GREAT! I can now bake the Baguette. And...;GRANDE! Ora posso preparare la Baguette. E...
NODEL-7d268d3e-5238-41b7-bb6d-1719033741117;FR-01 Paris;Text;Guide;I saw Antura going up to the top of the tower. Take the elevator!;Ho visto Antura salire in cima alla torre. Prendi l'ascensore!
NODEL-984f471b-d263-4218-a1ae-1719034299546;FR-01 Paris;Text;Guide;It's made of iron!;È fatto di ferro!
NODEL-ad8b5887-450b-4fa4-8f16-1719035075174;FR-01 Paris;Text;Guide;I saw Antura going towards Notre Dame.;Ho visto Antura andare verso Notre Dame.
NODEL-70638372-397b-42a0-b61a-1719035140518;FR-01 Paris;Text;Guide;Get there!;Vai lì!
NODEL-c6e8c486-9e99-43ac-a3c2-1719035597845;FR-01 Paris;Text;Guide;Here is your ticket;Ecco il tuo biglietto
NODEL-087410aa-0e91-466d-b820-1719036335876;FR-01 Paris;Text;Major;I saw Antura run into the Louvre Museum...;Ho visto Antura correre verso il Museo del Louvre...
NODEL-8c43d347-4f31-4759-bd3a-1719036398561;FR-01 Paris;Text;Major;It's just across the Seine river;È dall'altra parte della Senna
NODHD-fbb93d22-14a9-45b5-b08d-1719037261871;FR-01 Paris;Node Header;man;Have you any questions?;Avete domande?
NODEL-92900886-bb0c-4c94-885e-1719037261871;FR-01 Paris;Choice;man;Have you seen Antura?;Hai visto Antura?
NODEL-a62486b5-a5ca-492a-9bfa-1719037277151;FR-01 Paris;Choice;man;What are you doing?;Che cosa sta facendo?
NODEL-c51e6072-8aed-4b7a-be7d-1719037286869;FR-01 Paris;Choice;man;Where do you come from?;Da dove vieni?
NODEL-1961152c-8727-437a-9597-1719040397700;FR-01 Paris;Choice;man;Goodbye;Arrivederci
NODEL-ca53bd2c-5821-4b9e-8d3c-1719040423060;FR-01 Paris;Text;man;Yes! Talk to everybody and follow the lights!;Sì! Parla con tutti e segui le luci!
NODEL-19c1e1e9-39dd-4a17-9826-1719040561585;FR-01 Paris;Text;man;No. Who is Antura?;No. Chi è Antura?
NODEL-55c6a18f-d51b-41cb-95ca-1719040849056;FR-01 Paris;Text;Major;It's our most famous gothic church, built in 1182.;È la nostra chiesa gotica più famosa, costruita nel 1182.
NODEL-4a4225a8-903b-416e-989a-1719042615181;FR-01 Paris;Text;Museum Guide;Go and find the Mona Lisa!;Andate a cercare la Monna Lisa!
NODEL-1b8b8637-5b43-4548-adab-1719042680949;FR-01 Paris;Text;Museum Guide;Painted in year 1500 by artist and scientist Leonardo Da Vinci;Dipinta nel 1500 dall'artista e scienziato Leonardo Da Vinci.
NODEL-28e3efea-e78d-4aab-9811-1719042906729;FR-01 Paris;Text;Museum Guide;You can find many sculptures and paintings.;Si possono trovare molte sculture e dipinti.
NODEL-a9e61e02-5fa3-4054-a8d4-1719043125977;FR-01 Paris;Text;Teacher;Now look for Antura! I think it went to the bakery for a baguette!;Ora cercate Antura! Credo che sia andata in panetteria a prendere una baguette!
NODEL-90feedf3-44b4-4161-800d-1719043178594;FR-01 Paris;Text;Teacher;Hurry up!;Sbrigati!
NODEL-dd6ac8f1-337d-4514-a614-1719050313176;FR-01 Paris;Text;Cook;CONGRATULATIONS! You won the game! Did you like it?;CONGRATULAZIONI! Hai vinto il gioco! Ti è piaciuto?
NODEL-347a6af4-a8ae-4e23-b995-1710935631414-fb-b2-ab-89;FR-01 Paris;Text;Cook;This is salt;Questo è sale
NODEL-347a6af4-a8ae-4e23-b995-1710935631414-fb-b2-ab-89-da-bd;FR-01 Paris;Text;Cook;This is water;Questa è l'acqua
NODEL-347a6af4-a8ae-4e23-b995-1710935631414-fb-b2-ab-89-da-bd-79-bc;FR-01 Paris;Text;Cook;This is yeast;Questo è lievito
NODEL-51e149f6-fe37-4043-b64a-1719100015746;FR-01 Paris;Text;Major;There was a big fire in 2019, but we could repair it.;Nel 2019 c'è stato un grande incendio, ma siamo riusciti a ripararlo.
NODEL-1686a93b-a2a2-4347-83a3-1719100183205;FR-01 Paris;Text;Major;Come with me up to the roof of the church!;Venite con me sul tetto della chiesa!
NODHD-2be8e0be-f84e-4d4d-9655-1719132050354;FR-01 Paris;Node Header;Museum Guide;Welcome to the Louvre Museum. What do you want do to?;Benvenuti al Museo del Louvre. Cosa vuoi fare?
NODEL-82d2e223-c052-4011-8801-1719132050353;FR-01 Paris;Choice;Museum Guide;Tell me about the Louvre;Parlami del Louvre
NODEL-59c7f14c-c6e6-4602-979f-1719132549531;FR-01 Paris;Choice;Museum Guide;Exit;Uscire
NODEL-c636cf4c-c89f-4b46-b6b3-1719132212533;FR-01 Paris;Text;Museum Guide;Come back!;Torna indietro!
NODHD-504f5b3c-6b24-4b17-a5cc-1719132513272;FR-01 Paris;Node Header;Teacher;Do you want to enter?;Vuoi entrare?
NODEL-4d0069e6-7668-4201-b4a3-1719132513271;FR-01 Paris;Choice;Teacher;Yes;Sì, sì, sì.
NODEL-600d06c5-ffb8-422b-b2d2-1719132536285;FR-01 Paris;Choice;Teacher;No;No
NODEL-347a6af4-a8ae-4e23-b995-1710935631414-fb-b2-ab-89-da-bd-49-80;FR-01 Paris;Text;Museum Guide;This is the famous Mona Lisa;Questa è la famosa Monna Lisa
NODEL-6722e661-da10-4749-92c4-1719132852926;FR-01 Paris;Text;Teacher;Good visit!;Buona visita!
NODEL-347a6af4-a8ae-4e23-b995-1710935631414-fb-b2-ab-89-da-bd-49-80-f8-af;FR-01 Paris;Text;Museum Guide;Liberty Leading the People by the French artist Eugène Delacroix represents the Freedom;La Libertà che guida il popolo, opera dell'artista francese Eugène Delacroix, rappresenta la Libertà.
NODEL-347a6af4-a8ae-4e23-b995-1710935631414-fb-b2-ab-89-da-bd-49-80-f8-af-bb-bb;FR-01 Paris;Text;Museum Guide;The Venus de Milo, an ancient Greek marble sculpture.;La Venere di Milo, un'antica scultura greca in marmo.
NODEL-3711b79d-7180-424d-a5e0-1719134955206;FR-01 Paris;Text;Teacher;Ok;Ok
NODEL-ee3200a8-e1de-4442-bf0e-1738554505395;FR-01 Paris;Text;kid_male;Hi;Ciao
NODEL-91664bda-99e5-4c5a-9c99-1738554525164;FR-01 Paris;Text;kid_male;How are you?;Come stai?
NODEL-c7cfe92b-2de5-4256-af21-1730123467818-78-bb;FR-01b Paris - Seine;Text;Tutor;This is the Sein River!;Questo è il fiume Sein!
NODEL-6151d64f-2589-455d-ac48-1730127623623-38-86-78-bb;FR-01b Paris - Seine;Text;Tutor;Thank you!;Grazie!
NODEL-1720f4eb-8563-4d52-8307-1730127141940-78-bb;FR-01b Paris - Seine;Text;Tutor;I lost 8 photos of the Sein. Can you find them all? Then come back to me!;Ho perso 8 foto del Sein. Riesci a trovarle tutte? Allora torna da me!
NODEL-24aa99f3-28b0-474a-962e-1730660461651;FR-01b Paris - Seine;Text;Tutor;This is a bridge for trains!;Questo è un ponte per i treni!
NODEL-e1debb63-6449-446a-9f90-1730677236812;FR-01b Paris - Seine;Text;Tutor;Do you know that there are 37 bridges on the Seine?;Lo sai che ci sono 37 ponti sulla Senna?
NODEL-6151d64f-2589-455d-ac48-1730127623623-78-bb-b9-ba;FR-01b Paris - Seine;Text;Tutor;Keep searching for the photos!;Continua a cercare le foto!
NODEL-24aa99f3-28b0-474a-962e-1730660461651-7b-ac;FR-01b Paris - Seine;Text;Tutor;This is a bridge for cars!;Questo è un ponte per le auto!
NODEL-24aa99f3-28b0-474a-962e-1730660461651-7b-ac-3a-ac;FR-01b Paris - Seine;Text;Tutor;This is a bridge for the people!;Questo è un ponte per le persone!
NODEL-24aa99f3-28b0-474a-962e-1730660461651-69-87;FR-01b Paris - Seine;Text;Tutor;This boat has large windows, so tourista can see the city! it's a bâteaux mouches;Questo battello ha grandi finestre, così i turisti possono vedere la città! È un bâteaux mouches
NODEL-24aa99f3-28b0-474a-962e-1730660461651-69-87-89-89;FR-01b Paris - Seine;Text;Tutor;<br>This boat is a house! People live here!;<br>Questa barca è una casa! Le persone vivono qui!
NODEL-24aa99f3-28b0-474a-962e-1730660461651-69-87-89-89-e8-b5;FR-01b Paris - Seine;Text;Tutor;This boat transports goods;Questo battello trasporta merci
NODEL-992e6a6a-8025-4b10-96b0-1730680306658;FR-01b Paris - Seine;Text;Tutor;Now look at this map or the Seine;Ora guardate questa mappa della Senna
NODHD-b0e2deca-d54c-4683-9f49-1730680394263;FR-01b Paris - Seine;Node Header;Tutor;The Seine is a river which flows into a sea, which one?;La Senna è un fiume che sfocia in un mare, quale?
NODEL-ab459983-32e0-439e-8210-1730680394261;FR-01b Paris - Seine;Choice;Tutor;The Mediterranean Sea;Il Mar Mediterraneo
NODEL-740cd7f3-a305-4045-ac16-1730680430456;FR-01b Paris - Seine;Choice;Tutor;The English Channel;Il Canale della Manica
NODEL-cff4a20e-fbbe-4818-add4-1739119029895;FR-01b Paris - Seine;Choice;Tutor;The Atlantic Ocean;L'Oceano Atlantico
NODEL-0fcf2265-3a91-45bd-a2d7-1730680459166;FR-01b Paris - Seine;Text;Tutor;YES! The Seine flows into the English Channel, north of France;SÌ! La Senna sfocia nel Canale della Manica, a nord della Francia.
NODEL-0fcf2265-3a91-45bd-a2d7-1730680459166-19-ae;FR-01b Paris - Seine;Text;Tutor;UHMMMM. not really. Look better at the map;UHMMMM. non proprio. Guarda meglio la mappa
NODEL-715ac5c0-0b0a-4559-8b70-1730680551229;FR-01b Paris - Seine;Text;Tutor;Great: you finished this level.;Ottimo: hai finito questo livello.
NODEL-c05bace0-7e4d-48b2-bece-1730680712522;FR-01b Paris - Seine;Text;man;I would love to ride a train!;Mi piacerebbe andare in treno!
NODEL-c05bace0-7e4d-48b2-bece-1730680712522-88-b9;FR-01b Paris - Seine;Text;man;No i didn't see your dog;No, non ho visto il tuo cane
NODEL-e16db791-2a41-4977-bd15-1730785566369;FR-01b Paris - Seine;Text;man;A dog? there are many dogs here...;Un cane? Ci sono molti cani qui...
NODEL-c93255f3-a21e-4632-99ca-1730785590315;FR-01b Paris - Seine;Text;man;I saw a dog walking around, yes;Ho visto un cane che passeggiava, sì
NODEL-556d5d22-bfcd-4f31-b4d4-1730785640110;FR-01b Paris - Seine;Text;Tutor;The river Seine flows through Paris.;La Senna attraversa Parigi.
NODEL-f9e0d913-e26d-422a-9355-1730785871053;FR-01b Paris - Seine;Text;Tutor;Many people live by this river;Molte persone vivono lungo questo fiume
NODEL-24aa99f3-28b0-474a-962e-1730660461651-69-87-89-89-e8-b5-89-b3;FR-01b Paris - Seine;Text;Tutor;Look how nice!;Guarda che bello!
NODEL-24aa99f3-28b0-474a-962e-1730660461651-69-87-89-89-e8-b5-89-b3-9b-96;FR-01b Paris - Seine;Text;Tutor;<br>There are many boats;<br>Ci sono molte barche
NODEL-d4bc4850-0625-43b7-ad6b-1739116353752;FR-01b Paris - Seine;Text;woman;"Look: there is an island. ""île de la cité"". It is the historic centre of Paris.";"Guardate: c'è un'isola. ""île de la cité"". È il centro storico di Parigi."
NODEL-eacf53ee-9aff-488d-a46f-1739118445009;FR-01b Paris - Seine;Text;woman;This is Pont Alexandre III: an historic monument;Questo è il Pont Alexandre III: un monumento storico.
NODEL-1c708aef-9aec-40db-b294-1739119065536;FR-01b Paris - Seine;Text;Tutor;In this map: name the monuments you recognized.;In questa mappa: nominate i monumenti che avete riconosciuto.
NODEL-0f62995d-1acd-4a50-9450-1739119231995;FR-01b Paris - Seine;Text;Tutor;Draw a bridge in your notebook! Do you remember the Pont Alexandre 3?;Disegnate un ponte sul vostro quaderno! Ti ricordi il Pont Alexandre 3?
NODEL-a49069d3-3bd0-4df3-bf34-1711465810762;FR-02 Angers;Text;woman;bring cake to your 3 brothers, then go to your school;porta la torta ai tuoi 3 fratelli, poi vai a scuola
NODEL-ed62b69e-1e93-4c59-b6dd-1711465835401;FR-02 Angers;Text;kid_male;This is the high school (lycee) for kids from 16 to 18 years;Questa è la scuola superiore (lycee) per ragazzi dai 16 ai 18 anni
NODEL-592a2e48-c077-4bf0-ad2c-1728494807998;FR-02 Angers;Text;Tutor;This is the school portal (le portail);Questo è il portale della scuola (le portail)
NODEL-d73224cd-34d7-4e2f-bcf7-1730699412299;FR-02 Angers;Text;woman;and bring cake to your 3 brothers;e porta la torta ai tuoi 3 fratelli
NODEL-ed62b69e-1e93-4c59-b6dd-1711465835401-d8-b5;FR-02 Angers;Text;kid_female;This is a collège for kids from 11 to 15 years;Questo è un collège per ragazzi dagli 11 ai 15 anni
NODEL-ed62b69e-1e93-4c59-b6dd-1711465835401-d8-b5-1b-bd;FR-02 Angers;Text;kid_male;This is a primary school for young kids from 3 to 5 years;Questa è una scuola elementare per bambini dai 3 ai 5 anni
NODEL-abc4e189-e836-46ef-887d-1730699764129;FR-02 Angers;Text;Teacher;Here you are in your classroom!;Eccovi nella vostra classe!
NODEL-abc4e189-e836-46ef-887d-1730699764129-8a-a7;FR-02 Angers;Text;woman;Thank you! The class is at the playground having morning playtime (récréation);Grazie! La classe è al parco giochi per la ricreazione mattutina (récréation)
NODEL-abc4e189-e836-46ef-887d-1730699764129-8a-a7-19-99;FR-02 Angers;Text;Teacher;Thank you! this is the third class;Grazie! Questa è la terza classe
NODEL-abc4e189-e836-46ef-887d-1730699764129-8a-a7-19-99-09-a8;FR-02 Angers;Text;woman;Thank you! this is the second class;Grazie! Questa è la seconda classe
NODEL-abc4e189-e836-46ef-887d-1730699764129-8a-a7-19-99-09-a8-fa-9b;FR-02 Angers;Text;Teacher;Thank you! this is the first class;Grazie! Questa è la prima classe
NODEL-abc4e189-e836-46ef-887d-1730699764129-7a-be;FR-02 Angers;Text;Major;Welcome to your school!;Benvenuti nella vostra scuola!
NODEL-90eae62e-07eb-4998-8310-1730699885900;FR-02 Angers;Text;Major;Can you please give these papers to all the 5 teachers?;Potete dare questi fogli a tutti e 5 gli insegnanti?
NODEL-abc4e189-e836-46ef-887d-1730699764129-8a-a7-68-a3;FR-02 Angers;Text;woman;Yes we do morning playtime every day!;Sì, facciamo la ricreazione mattutina tutti i giorni!
NODEL-84fbf12d-ada8-49b1-9bb2-1730700257661;FR-02 Angers;Text;Teacher;Antura is here to study with you!;Antura è qui per studiare con voi!
NODEL-abc4e189-e836-46ef-887d-1730699764129-7a-be-08-8b;FR-02 Angers;Text;Major;Thank you! now you can go back to your class. the 5A;Grazie! Ora potete tornare nella vostra classe. la 5A
NODEL-21cc22d6-0828-4640-afab-1730787928213;FR-02 Angers;Text;Teacher;We studying the alphabet;Studiamo l'alfabeto
NODEL-8d314fd6-d666-492f-9607-1730787947062;FR-02 Angers;Text;woman;we learning to write;impariamo a scrivere
NODEL-f95e283e-768f-4823-affa-1730787977571;FR-02 Angers;Text;woman;we watch a movie about celtics with Asterix and Obelix: do you know them?;guardiamo un film sui celti con Asterix e Obelix: li conoscete?
NODEL-84fbf12d-ada8-49b1-9bb2-1730700257661-ca-a0;FR-02 Angers;Text;Teacher;Thank you! this is the fifth class;Grazie! Questa è la quinta classe
NODEL-592a2e48-c077-4bf0-ad2c-1728494807998-5b-90;FR-02 Angers;Text;Tutor;Here are all our classes. How old are you?;Ecco tutte le nostre classi. Quanti anni hai?
NODEL-ab654cf9-beef-44d9-acbc-1730801462783;FR-02 Angers;Text;Teacher;Now you are old enough. From now on you have to bring your schoolbag;Ora sei abbastanza grande. D'ora in poi dovrete portare il vostro zainetto.
NODEL-f62e6819-bf0e-4f88-8e1e-1730700373238;FR-03 Nantes;Text;Tutor;This is Jules Verne! He was a WRITER;Questo è Jules Verne! Era uno scrittore
NODEL-1d320e32-1318-4def-90a1-1730701124390;FR-03 Nantes;Text;Tutor;He was born in Nantes in 1828;È nato a Nantes nel 1828
NODEL-6ee86be0-4091-4080-a274-1730701185448;FR-03 Nantes;Text;Tutor;This is the map on Nantes;Questa è la mappa di Nantes
NODEL-c1cda02f-fdc1-4372-a1a3-1711465867579-2b-a8-19-a8;FR-03 Nantes;Text;Museum Guide;Welcome to the house of Jules Verne!;Benvenuti nella casa di Jules Verne!
NODEL-d89ee8eb-e5bd-4c99-84c1-1730700360352;FR-03 Nantes;Text;Museum Guide;Explore the house and find FOUR of his books!;Esplora la casa e trova QUATTRO dei suoi libri!
NODEL-476eb9ee-f4e4-46c2-bbba-1730701006089;FR-03 Nantes;Text;Museum Guide;GREAT! You met Jules Verne, the most famous writer of sci-fiction!;GRANDE! Avete incontrato Jules Verne, il più famoso scrittore di fantascienza!
NODEL-6c9acdb3-fb1f-4a91-ba54-1730700903283;FR-03 Nantes;Text;Tutor;This is an old train;Questo è un vecchio treno
NODEL-a49069d3-3bd0-4df3-bf34-1711465810762-2b-a8-19-a8;FR-03 Nantes;Text;Tutor;"This book is ""Around the World in 80 Days""";"Questo libro è ""Il giro del mondo in 80 giorni""."
NODEL-ff0574b6-bff3-49c9-9918-1730700785355;FR-03 Nantes;Text;Tutor;This is a space rocket;Questo è un razzo spaziale
NODEL-a49069d3-3bd0-4df3-bf34-1711465810762-2b-a8-19-a8-ba-b1;FR-03 Nantes;Text;Tutor;"This book is ""From earth to the Moon""";"Questo libro è ""Dalla Terra alla Luna""."
NODEL-8854e1ad-5575-4b2c-a175-1730700720785;FR-03 Nantes;Text;Tutor;This is a submarine;Questo è un sottomarino
NODEL-ed62b69e-1e93-4c59-b6dd-1711465835401-2b-a8-19-a8;FR-03 Nantes;Text;Tutor;This book is Twenty Thousand Leagues Under the Seas;"Questo libro è ""Ventimila leghe sotto i mari"
NODEL-a7e6a44d-60f3-4106-a4b3-1730700614425;FR-03 Nantes;Text;Tutor;This is a Balloon. It flies by hot air.;Questo è un pallone aerostatico. Vola con l'aria calda.
NODEL-c1cda02f-fdc1-4372-a1a3-1711465867579-08-ad-2b-a8-19-a8;FR-03 Nantes;Text;Tutor;this book is Five Weeks in a Balloon;questo libro è Cinque settimane in mongolfiera
NODEL-c1cda02f-fdc1-4372-a1a3-1711465867579-08-ad-2b-a8-5b-91;FR-04 Le Mans;Text;man;This is the race of Le Mans;--- to be translated ---
NODEL-c1cda02f-fdc1-4372-a1a3-1711465867579-08-ad-2b-a8;FR-04 Le Mans;Text;man;Cars are very fast!;--- to be translated ---
NODEL-d77b2ae3-62dd-4524-b40b-1730701346118;FR-04 Le Mans;Text;man;Only adults can drive them.;--- to be translated ---
NODEL-103a91dc-17c4-43d2-97f3-1730701540291;FR-04 Le Mans;Text;Guide;The race is finished. Go back home by train!;--- to be translated ---
NODEL-d9b2b2dd-0415-445c-acad-1730789250882;FR-04 Le Mans;Text;man;BUT PAY ATTENTION!;--- to be translated ---
NODEL-a49069d3-3bd0-4df3-bf34-1711465810762-2b-a8;FR-04 Le Mans;Text;Tutor;At the STOP sign you ALWAYS have to stop. ALWAYS;--- to be translated ---
NODEL-3b3cd804-0a0b-4410-a7e9-1730789296213;FR-04 Le Mans;Text;Tutor;you didn't pay attention! retry!;--- to be translated ---
NODEL-4763c152-353c-41a5-9c2c-1730701753588;FR-04 Le Mans;Text;Tutor;They are TRIANGLE;--- to be translated ---
NODEL-a49069d3-3bd0-4df3-bf34-1711465810762-2b-a8-d9-b3;FR-04 Le Mans;Text;Tutor;at the DANGER sign you have to pay attention;--- to be translated ---
NODEL-488b0324-34e9-49ac-a179-1730701841640;FR-04 Le Mans;Text;Tutor;YELLOW: SLOW DOWN;--- to be translated ---
NODEL-bdfe4814-5757-4232-b050-1730701843528;FR-04 Le Mans;Text;Tutor;GREEN: GO!;--- to be translated ---
NODEL-3fc9fa4d-ab1c-4bde-8e44-1730701839323;FR-04 Le Mans;Text;Tutor;RED: STOP;--- to be translated ---
NODEL-a49069d3-3bd0-4df3-bf34-1711465810762-2b-a8-d9-b3-09-bb;FR-04 Le Mans;Text;Tutor;at the TRAFFIC LIGHTS you must follow the color;--- to be translated ---
NODEL-a49069d3-3bd0-4df3-bf34-1711465810762-2b-a8-d9-b3-09-bb-aa-87;FR-04 Le Mans;Text;Tutor;at the ZEBRA CROSSING you ALWAYS must stop to let people cross the street;--- to be translated ---
NODEL-f0672959-47d7-4683-a826-1730701983386;FR-05 Castles;Text;Guide;Antura ran away and is hidden in a castle!;--- to be translated ---
NODEL-f0672959-47d7-4683-a826-1730701983386-0a-b3;FR-05 Castles;Text;Museum Guide;This is the castle of Chinon;--- to be translated ---
NODEL-f0672959-47d7-4683-a826-1730701983386-0a-b3-1a-a8;FR-05 Castles;Text;Museum Guide;Welcome to castle Chambord;--- to be translated ---
NODEL-9d96ed7f-baa9-466f-98f0-1730702040108;FR-05 Castles;Text;Museum Guide;Go find all the clothes of the knight: helmet, sword, bow, armor;--- to be translated ---
NODEL-9045d1cc-847a-4611-b8f9-1730702082173;FR-05 Castles;Text;Museum Guide;Go find all the clothes of the Prince: hat, musical instrument, dance shoes, ball mask;--- to be translated ---
NODHD-abf1434c-4bd4-4450-a8c6-1730701983388-ba-9d;FR-05 Castles;Node Header;Guide;Did you find Antura?;--- to be translated ---
NODEL-f0672959-47d7-4683-a826-1730701983386-ba-9d;FR-05 Castles;Choice;Guide;YES;--- to be translated ---
